realization,Lambda1,Lambda2,r_gain,weak_axis_w0,weak_axis_wa,delta_phi_weak_deg,delta_phi_strong_deg,angle_weak_lt_5deg,angle_weak_lt_10deg,angle_weak_lt_45deg,angle_weak_lt_angle_strong
111,6.832309131667184,1.4717491028584608,1.1607194522438196,-0.24554059002889408,0.969386310326416,2.9791412233209535,87.02085877667902,1,1,1,1
112,6.8087670085973,1.4323998817112813,1.1480579523302474,-0.2507323059552487,0.9680564605178583,3.507093704095615,86.49290629590419,1,1,1,1
113,6.819404852895991,1.5538991580761232,1.1886537111516977,-0.25131321002412743,0.9679058169405579,3.457018690833056,86.54298130916676,1,1,1,1
114,6.6243100539709445,1.3982367459254095,1.140906218809126,-0.24955086132815082,0.968361692556236,3.603343388149213,86.39665661185064,1,1,1,1
115,6.83375290729011,1.5571002658959576,1.1892660575765606,-0.24937245434243652,0.9684076512580997,3.471381496307657,86.52861850369223,1,1,1,1
116,6.7360107288795295,1.5949948621157009,1.2052509947896652,-0.24682545258474725,0.9690599547790294,3.401546965765286,86.59845303423451,1,1,1,1
117,6.735569441252576,1.4918915645833204,1.1702708328056464,-0.24820073145495072,0.9687086233255217,3.2176992030981113,86.78230079690157,1,1,1,1
118,6.470108330298713,1.5045397702819472,1.1829154402267725,-0.24825582553788564,0.9686945055519326,3.322040170446381,86.67795982955357,1,1,1,1
119,6.460730699428881,1.5431491886847108,1.1969803586210117,-0.24478656065553908,0.9695769900953881,3.183675347296083,86.81632465270387,1,1,1,1
120,6.7138886344193205,1.5040714770148387,1.1750747531947103,-0.2498250024931427,0.9682910038461068,3.438396485507111,86.56160351449277,1,1,1,1
121,6.670101643394783,1.5761105018476067,1.2011335221099912,-0.2492752270847101,0.968432682824091,3.1917851581925483,86.80821484180737,1,1,1,1
122,6.783470340504602,1.4883753415913923,1.1676908586897126,-0.2484093560036859,0.9686551459884132,3.2777316913667005,86.72226830863323,1,1,1,1
123,6.445332955670725,1.47796468506806,1.1742080343364454,-0.2487742071161703,0.9685615075325473,3.159528811866037,86.84047118813398,1,1,1,1
124,6.574658852154362,1.4680471488820923,1.16674414611455,-0.24930281309277225,0.9684255817480403,3.18373525956779,86.81626474043232,1,1,1,1
125,6.878975899597142,1.4406450041442291,1.1490679123626182,-0.2497363042138758,0.9683138842119298,3.2206850773385036,86.77931492266138,1,1,1,1
126,6.600694938282093,1.4595878695199247,1.163020428965078,-0.2501271200144192,0.9682130054039205,3.3913698982634197,86.60863010173661,1,1,1,1
127,6.8235506594408655,1.4695271571039008,1.1602097217944092,-0.2497482615857908,0.9683108002262886,3.308588236773078,86.69141176322678,1,1,1,1
128,6.6349409440654,1.4517626348926984,1.1593193187820034,-0.24925372372802618,0.9684382175480855,3.286129954360173,86.71387004563977,1,1,1,1
129,6.7615698890182925,1.4339136361302862,1.1497739090337744,-0.25021791905550445,0.9681895439342098,3.3645231669716464,86.6354768330283,1,1,1,1
130,6.620103650896602,1.4398928374937041,1.1555894041734591,-0.2479101826457036,0.9687830207742979,3.194668718969698,86.80533128103019,1,1,1,1
131,6.49630276187196,1.5264382208543152,1.189819469387633,-0.2456817337642223,0.9693505484057899,3.63430894683668,86.36569105316309,1,1,1,1
132,6.560029504460699,1.3711049401332227,1.132898227174897,-0.24969887099082863,0.9683235377836819,3.3947340900367604,86.60526590996321,1,1,1,1
133,6.609690315146729,1.5636184542162146,1.1989363883178015,-0.24668396429088843,0.969095981707556,3.515418154568388,86.48458184543136,1,1,1,1
134,6.9165079890633745,1.572948633750098,1.191878574980349,-0.24707783881273013,0.9689956354739842,3.3002589199121797,86.69974108008786,1,1,1,1
135,7.051726026899692,1.5680708429098027,1.1860986579652104,-0.24775700468282705,0.9688222058925949,3.329882724044463,86.67011727595572,1,1,1,1
136,6.960020918211719,1.4870233992288486,1.1623460559777594,-0.24679514820087642,0.9690676729849713,3.4255914316259433,86.57440856837391,1,1,1,1
137,6.684198500280228,1.4995812010307257,1.1744315359071973,-0.24752084476178268,0.9688825684304643,3.282252327382607,86.71774767261742,1,1,1,1
